Year,Continent,Temp Change
1981,Americas,0.240824242
1982,Americas,0.235155556
1983,Americas,0.289155051
1984,Americas,0.248024242
1985,Americas,0.203578788
1986,Americas,0.179139394
1987,Americas,0.228684848
1988,Americas,0.239387374
1989,Americas,0.27424798
1990,Americas,0.36295404
1991,Americas,0.403728788
1992,Americas,0.32555
1993,Americas,0.302592424
1994,Americas,0.394739394
1995,Americas,0.414620202
1996,Americas,0.410845455
1997,Americas,0.496404545
1998,Americas,0.630080303
1999,Americas,0.623421717
2000,Americas,0.608498485
2001,Americas,0.694359091
2002,Americas,0.727935354
2003,Americas,0.698387879
2004,Americas,0.705641414
2005,Americas,0.782007576
2006,Americas,0.791286364
2007,Americas,0.766343434
2008,Americas,0.734890909
2009,Americas,0.740830303
2010,Americas,0.830339394
2011,Americas,0.82855303
2012,Americas,0.832466667
2013,Americas,0.864302525
2014,Americas,0.908754545
2015,Americas,0.935533333
2016,Americas,1.020230303
2017,Americas,1.080806061
2018,Americas,1.144387879
2019,Americas,1.179042424
2020,Americas,1.218981818
2021,Americas,1.206345455
2022,Americas,1.191288889
1965,Africa,-0.058728
1966,Africa,-0.074176
1967,Africa,-0.091648
1968,Africa,-0.116248
1969,Africa,-0.067734
1970,Africa,0.011512
1971,Africa,-0.0252
1972,Africa,-0.01743
1973,Africa,0.077812
1974,Africa,0.007580667
1975,Africa,-0.027302333
1976,Africa,-0.026216
1977,Africa,0.024168
1978,Africa,-0.031416
1979,Africa,0.039232
1980,Africa,0.1081
1981,Africa,0.168596
1982,Africa,0.177028
1983,Africa,0.250586
1984,Africa,0.244798
1985,Africa,0.210189
1986,Africa,0.206294
1987,Africa,0.257243
1988,Africa,0.279557333
1989,Africa,0.274372
1990,Africa,0.352272
1991,Africa,0.390656
1992,Africa,0.353201
1993,Africa,0.294948
1994,Africa,0.350604333
1995,Africa,0.371907
1996,Africa,0.376524
1997,Africa,0.43184
1998,Africa,0.592841
1999,Africa,0.643097667
2000,Africa,0.624306333
2001,Africa,0.67981
2002,Africa,0.737512
2003,Africa,0.716876667
2004,Africa,0.730499
2005,Africa,0.806187
2006,Africa,0.847012
2007,Africa,0.859130667
2008,Africa,0.82598
2009,Africa,0.846164
2010,Africa,0.889603
2011,Africa,0.887993
2012,Africa,0.851866
2013,Africa,0.887167
2014,Africa,0.907438
2015,Africa,0.898771
2016,Africa,1.00243
2017,Africa,1.0684
2018,Africa,1.099076
2019,Africa,1.170804
2020,Africa,1.212334
2021,Africa,1.185786
2022,Africa,1.182451
1965,Europe,-0.062566667
1966,Europe,-0.111333333
1967,Europe,-0.084995238
1968,Europe,-0.07592381
1969,Europe,-0.073233333
1970,Europe,-0.019842857
1971,Europe,-0.050057143
1972,Europe,-0.066771429
1973,Europe,-0.012301587
1974,Europe,-0.002507143
1975,Europe,0.030447619
1976,Europe,0.026929762
1977,Europe,0.049708333
1978,Europe,0.014044048
1979,Europe,0.018394048
1980,Europe,-0.003569048
1981,Europe,0.031652381
1982,Europe,0.045771429
1983,Europe,0.112453571
1984,Europe,0.11465119
1985,Europe,0.095441667
1986,Europe,0.097863492
1987,Europe,0.099028571
1988,Europe,0.123595238
1989,Europe,0.191414286
1990,Europe,0.302940476
1991,Europe,0.328003175
1992,Europe,0.509032143
1993,Europe,0.405093254
1994,Europe,0.46263373
1995,Europe,0.482048413
1996,Europe,0.421090476
1997,Europe,0.440895238
1998,Europe,0.561552381
1999,Europe,0.581728571
2000,Europe,0.660414286
2001,Europe,0.82702381
2002,Europe,0.92421746
2003,Europe,0.931115476
2004,Europe,0.922990476
2005,Europe,0.90152381
2006,Europe,0.887066667
2007,Europe,0.958792857
2008,Europe,0.998811111
2009,Europe,1.054792857
2010,Europe,1.059133333
2011,Europe,1.072095238
2012,Europe,1.025966667
2013,Europe,0.996966667
2014,Europe,1.074090476
2015,Europe,1.182942857
2016,Europe,1.307295238
2017,Europe,1.366614286
2018,Europe,1.494233333
2019,Europe,1.529357143
2020,Europe,1.586452381
2021,Europe,1.548238095
2022,Europe,1.609733333
1965,Oceania,-0.004754545
1966,Oceania,-0.024090909
1967,Oceania,-0.020054545
1968,Oceania,-0.073081818
1969,Oceania,-0.058718182
1970,Oceania,-0.001645455
1971,Oceania,-0.060409091
1972,Oceania,-0.066890909
1973,Oceania,0.042718182
1974,Oceania,-0.021181818
1975,Oceania,-0.019290909
1976,Oceania,-0.041718182
1977,Oceania,0.000112121
1978,Oceania,-0.016015152
1979,Oceania,0.093612121
1980,Oceania,0.136179545
1981,Oceania,0.238213636
1982,Oceania,0.2514
1983,Oceania,0.290281818
1984,Oceania,0.252072727
1985,Oceania,0.207975
1986,Oceania,0.187197727
1987,Oceania,0.216088636
1988,Oceania,0.214536364
1989,Oceania,0.267227273
1990,Oceania,0.383772727
1991,Oceania,0.451409091
1992,Oceania,0.4461
1993,Oceania,0.407263636
1994,Oceania,0.448133333
1995,Oceania,0.456313636
1996,Oceania,0.439963636
1997,Oceania,0.490231818
1998,Oceania,0.648786364
1999,Oceania,0.664220455
2000,Oceania,0.628061364
2001,Oceania,0.696015909
2002,Oceania,0.737890909
2003,Oceania,0.679359091
2004,Oceania,0.710445455
2005,Oceania,0.776971212
2006,Oceania,0.813866667
2007,Oceania,0.855398485
2008,Oceania,0.848612879
2009,Oceania,0.850988636
2010,Oceania,0.859761364
2011,Oceania,0.845047727
2012,Oceania,0.792597727
2013,Oceania,0.807438636
2014,Oceania,0.851336364
2015,Oceania,0.895845455
2016,Oceania,1.014490909
2017,Oceania,1.139018182
2018,Oceania,1.188518182
2019,Oceania,1.245088636
2020,Oceania,1.31760303
2021,Oceania,1.317000758
2022,Oceania,1.323819697
1965,Global Avg,-0.032943435
1966,Global Avg,-0.046028952
1967,Global Avg,-0.057582847
1968,Global Avg,-0.089318705
1969,Global Avg,-0.053686713
1970,Global Avg,0.003477811
1971,Global Avg,-0.050092727
1972,Global Avg,-0.045697991
1973,Global Avg,0.032837133
1974,Global Avg,-0.021036637
1975,Global Avg,-0.034716397
1976,Global Avg,-0.041234694
1977,Global Avg,0.000817171
1978,Global Avg,-0.026824044
1979,Global Avg,0.042990404
1980,Global Avg,0.088646082
1981,Global Avg,0.165806862
1982,Global Avg,0.170962945
1983,Global Avg,0.220885158
1984,Global Avg,0.195417024
1985,Global Avg,0.162853255
1986,Global Avg,0.153162992
1987,Global Avg,0.189309055
1988,Global Avg,0.208329201
1989,Global Avg,0.242816723
1990,Global Avg,0.331214602
1991,Global Avg,0.371209151
1992,Global Avg,0.376525503
1993,Global Avg,0.322340805
1994,Global Avg,0.395952375
1995,Global Avg,0.412728976
1996,Global Avg,0.390824367
1997,Global Avg,0.446640727
1998,Global Avg,0.59311175
1999,Global Avg,0.614358747
2000,Global Avg,0.624793323
2001,Global Avg,0.724158039
2002,Global Avg,0.788117205
2003,Global Avg,0.760315398
2004,Global Avg,0.768286178
2005,Global Avg,0.812732378
2006,Global Avg,0.827150539
2007,Global Avg,0.849542439
2008,Global Avg,0.842114045
2009,Global Avg,0.864726588
2010,Global Avg,0.909583003
2011,Global Avg,0.90718702
2012,Global Avg,0.872971966
2013,Global Avg,0.891872888
2014,Global Avg,0.933495565
2015,Global Avg,0.970438789
2016,Global Avg,1.082217602
2017,Global Avg,1.158257056
2018,Global Avg,1.227380222
2019,Global Avg,1.283948441
2020,Global Avg,1.336599051
2021,Global Avg,1.319042633
2022,Global Avg,1.334943649
